      R          P(R)      ERROR
  0.6126E+02  0.9948E-05  0.4865E-07
  0.6189E+02  0.9672E-05  0.4958E-07
  0.6253E+02  0.9401E-05  0.5053E-07
  0.6316E+02  0.9135E-05  0.5146E-07
  0.6379E+02  0.8875E-05  0.5232E-07
  0.6442E+02  0.8619E-05  0.5309E-07
  0.6505E+02  0.8369E-05  0.5375E-07
  0.6568E+02  0.8123E-05  0.5429E-07
  0.6632E+02  0.7882E-05  0.5473E-07
  0.6695E+02  0.7647E-05  0.5508E-07
  0.6758E+02  0.7416E-05  0.5534E-07
  0.6821E+02  0.7190E-05  0.5555E-07
  0.6884E+02  0.6969E-05  0.5574E-07
  0.6947E+02  0.6753E-05  0.5593E-07
  0.7011E+02  0.6541E-05  0.5615E-07
  0.7074E+02  0.6335E-05  0.5640E-07
  0.7137E+02  0.6133E-05  0.5671E-07
  0.7200E+02  0.5936E-05  0.5709E-07
  0.7263E+02  0.5743E-05  0.5752E-07
  0.7326E+02  0.5556E-05  0.5799E-07
  0.7389E+02  0.5373E-05  0.5850E-07
  0.7453E+02  0.5195E-05  0.5902E-07
  0.7516E+02  0.5022E-05  0.5953E-07
  0.7579E+02  0.4853E-05  0.6001E-07
  0.7642E+02  0.4690E-05  0.6044E-07
  0.7705E+02  0.4530E-05  0.6079E-07
  0.7768E+02  0.4376E-05  0.6106E-07
  0.7832E+02  0.4226E-05  0.6123E-07
  0.7895E+02  0.4081E-05  0.6130E-07
  0.7958E+02  0.3940E-05  0.6127E-07
  0.8021E+02  0.3803E-05  0.6115E-07
  0.8084E+02  0.3671E-05  0.6094E-07
  0.8147E+02  0.3543E-05  0.6067E-07
  0.8211E+02  0.3419E-05  0.6035E-07
  0.8274E+02  0.3299E-05  0.6000E-07
  0.8337E+02  0.3183E-05  0.5965E-07
  0.8400E+02  0.3071E-05  0.5932E-07
  0.8463E+02  0.2962E-05  0.5904E-07
  0.8526E+02  0.2857E-05  0.5882E-07
  0.8589E+02  0.2755E-05  0.5869E-07
  0.8653E+02  0.2656E-05  0.5866E-07
  0.8716E+02  0.2560E-05  0.5875E-07
  0.8779E+02  0.2467E-05  0.5896E-07
  0.8842E+02  0.2377E-05  0.5931E-07
  0.8905E+02  0.2290E-05  0.5977E-07
  0.8968E+02  0.2205E-05  0.6036E-07
  0.9032E+02  0.2123E-05  0.6106E-07
  0.9095E+02  0.2042E-05  0.6185E-07
  0.9158E+02  0.1964E-05  0.6273E-07
  0.9221E+02  0.1888E-05  0.6366E-07
  0.9284E+02  0.1814E-05  0.6463E-07
  0.9347E+02  0.1742E-05  0.6562E-07
  0.9411E+02  0.1672E-05  0.6661E-07
  0.9474E+02  0.1603E-05  0.6757E-07
  0.9537E+02  0.1537E-05  0.6849E-07
  0.9600E+02  0.1472E-05  0.6936E-07
  0.9663E+02  0.1409E-05  0.7014E-07
  0.9726E+02  0.1347E-05  0.7084E-07
  0.9789E+02  0.1287E-05  0.7144E-07
  0.9853E+02  0.1229E-05  0.7193E-07
  0.9916E+02  0.1173E-05  0.7231E-07
  0.9979E+02  0.1118E-05  0.7259E-07
  0.1004E+03  0.1064E-05  0.7275E-07
  0.1011E+03  0.1013E-05  0.7282E-07
  0.1017E+03  0.9628E-06  0.7279E-07
  0.1023E+03  0.9144E-06  0.7269E-07
  0.1029E+03  0.8677E-06  0.7251E-07
  0.1036E+03  0.8226E-06  0.7227E-07
  0.1042E+03  0.7790E-06  0.7198E-07
  0.1048E+03  0.7369E-06  0.7166E-07
  0.1055E+03  0.6964E-06  0.7130E-07
  0.1061E+03  0.6573E-06  0.7092E-07
  0.1067E+03  0.6197E-06  0.7050E-07
  0.1074E+03  0.5834E-06  0.7004E-07
  0.1080E+03  0.5484E-06  0.6953E-07
  0.1086E+03  0.5146E-06  0.6895E-07
  0.1093E+03  0.4819E-06  0.6827E-07
  0.1099E+03  0.4502E-06  0.6745E-07
  0.1105E+03  0.4196E-06  0.6647E-07
  0.1112E+03  0.3897E-06  0.6528E-07
  0.1118E+03  0.3606E-06  0.6384E-07
  0.1124E+03  0.3322E-06  0.6209E-07
  0.1131E+03  0.3043E-06  0.5999E-07
  0.1137E+03  0.2767E-06  0.5749E-07
  0.1143E+03  0.2495E-06  0.5453E-07
  0.1149E+03  0.2225E-06  0.5108E-07
  0.1156E+03  0.1956E-06  0.4707E-07
  0.1162E+03  0.1686E-06  0.4246E-07
  0.1168E+03  0.1415E-06  0.3721E-07
  0.1175E+03  0.1141E-06  0.3127E-07
  0.1181E+03  0.8640E-07  0.2462E-07
  0.1187E+03  0.5820E-07  0.1721E-07
  0.1194E+03  0.2943E-07  0.9010E-08
  0.1200E+03  0.0000E+00  0.0000E+00
