Label: 53, Percentage: 0.00031 
Label: 52, Percentage: 0.00031 
Label: 286, Percentage: 0.00029 
Label: 226, Percentage: 0.00029 
Label: 221, Percentage: 0.00029 
Label: 200, Percentage: 0.00029 
Label: 176, Percentage: 0.00029 
Label: 160, Percentage: 0.00029 
Label: 141, Percentage: 0.00029 
Label: 120, Percentage: 0.00029 
Label: 95, Percentage: 0.00029 
Label: 17, Percentage: 0.00029 
Label: 285, Percentage: 0.00027 
Label: 152, Percentage: 0.00027 
Label: 147, Percentage: 0.00027 
Label: 115, Percentage: 0.00027 
Label: 96, Percentage: 0.00027 
Label: 44, Percentage: 0.00027 
Label: 260, Percentage: 0.00025 
Label: 245, Percentage: 0.00025 
Label: 210, Percentage: 0.00025 
Label: 189, Percentage: 0.00025 
Label: 144, Percentage: 0.00025 
Label: 116, Percentage: 0.00025 
Label: 89, Percentage: 0.00025 
Label: 63, Percentage: 0.00025 
Label: 55, Percentage: 0.00025 
Label: 45, Percentage: 0.00025 
Label: 299, Percentage: 0.00023 
Label: 273, Percentage: 0.00023 
Label: 253, Percentage: 0.00023 
Label: 250, Percentage: 0.00023 
Label: 204, Percentage: 0.00023 
Label: 196, Percentage: 0.00023 
Label: 191, Percentage: 0.00023 
Label: 124, Percentage: 0.00023 
Label: 110, Percentage: 0.00023 
Label: 109, Percentage: 0.00023 
Label: 104, Percentage: 0.00023 
Label: 50, Percentage: 0.00023 
Label: 28, Percentage: 0.00023 
Label: 297, Percentage: 0.00021 
Label: 293, Percentage: 0.00021 
Label: 274, Percentage: 0.00021 
Label: 252, Percentage: 0.00021 
Label: 244, Percentage: 0.00021 
Label: 233, Percentage: 0.00021 
Label: 228, Percentage: 0.00021 
Label: 201, Percentage: 0.00021 
Label: 192, Percentage: 0.00021 
Label: 179, Percentage: 0.00021 
Label: 178, Percentage: 0.00021 
Label: 112, Percentage: 0.00021 
Label: 111, Percentage: 0.00021 
Label: 39, Percentage: 0.00021 
Label: 296, Percentage: 0.00018 
Label: 294, Percentage: 0.00018 
Label: 254, Percentage: 0.00018 
Label: 227, Percentage: 0.00018 
Label: 202, Percentage: 0.00018 
Label: 171, Percentage: 0.00018 
Label: 164, Percentage: 0.00018 
Label: 156, Percentage: 0.00018 
Label: 132, Percentage: 0.00018 
Label: 125, Percentage: 0.00018 
Label: 123, Percentage: 0.00018 
Label: 94, Percentage: 0.00018 
Label: 88, Percentage: 0.00018 
Label: 78, Percentage: 0.00018 
Label: 68, Percentage: 0.00018 
Label: 41, Percentage: 0.00018 
Label: 283, Percentage: 0.00016 
Label: 269, Percentage: 0.00016 
Label: 266, Percentage: 0.00016 
Label: 203, Percentage: 0.00016 
Label: 175, Percentage: 0.00016 
Label: 131, Percentage: 0.00016 
Label: 119, Percentage: 0.00016 
Label: 113, Percentage: 0.00016 
Label: 84, Percentage: 0.00016 
Label: 73, Percentage: 0.00016 
Label: 43, Percentage: 0.00016 
Label: 34, Percentage: 0.00016 
Label: 30, Percentage: 0.00016 
Label: 14, Percentage: 0.00016 
Label: 280, Percentage: 0.00014 
Label: 276, Percentage: 0.00014 
Label: 268, Percentage: 0.00014 
Label: 263, Percentage: 0.00014 
Label: 251, Percentage: 0.00014 
Label: 235, Percentage: 0.00014 
Label: 222, Percentage: 0.00014 
Label: 219, Percentage: 0.00014 
Label: 211, Percentage: 0.00014 
Label: 206, Percentage: 0.00014 
Label: 185, Percentage: 0.00014 
Label: 151, Percentage: 0.00014 
Label: 138, Percentage: 0.00014 
Label: 129, Percentage: 0.00014 
Label: 106, Percentage: 0.00014 
Label: 98, Percentage: 0.00014 
Label: 97, Percentage: 0.00014 
Label: 66, Percentage: 0.00014 
Label: 61, Percentage: 0.00014 
Label: 36, Percentage: 0.00014 
Label: 33, Percentage: 0.00014 
Label: 32, Percentage: 0.00014 
Label: 26, Percentage: 0.00014 
Label: 19, Percentage: 0.00014 
Label: 11, Percentage: 0.00014 
Label: 289, Percentage: 0.00012 
Label: 288, Percentage: 0.00012 
Label: 277, Percentage: 0.00012 
Label: 262, Percentage: 0.00012 
Label: 224, Percentage: 0.00012 
Label: 215, Percentage: 0.00012 
Label: 209, Percentage: 0.00012 
Label: 195, Percentage: 0.00012 
Label: 180, Percentage: 0.00012 
Label: 150, Percentage: 0.00012 
Label: 105, Percentage: 0.00012 
Label: 87, Percentage: 0.00012 
Label: 83, Percentage: 0.00012 
Label: 57, Percentage: 0.00012 
Label: 35, Percentage: 0.00012 
Label: 287, Percentage: 0.0001 
Label: 281, Percentage: 0.0001 
Label: 275, Percentage: 0.0001 
Label: 212, Percentage: 0.0001 
Label: 186, Percentage: 0.0001 
Label: 173, Percentage: 0.0001 
Label: 162, Percentage: 0.0001 
Label: 159, Percentage: 0.0001 
Label: 158, Percentage: 0.0001 
Label: 145, Percentage: 0.0001 
Label: 136, Percentage: 0.0001 
Label: 134, Percentage: 0.0001 
Label: 118, Percentage: 0.0001 
Label: 102, Percentage: 0.0001 
Label: 51, Percentage: 0.0001 
Label: 40, Percentage: 0.0001 
Label: 7, Percentage: 0.0001 
